V,Si,So,TSi,TSo,Ni,No,TKNi,TKNo,M,DO,i,Sig/TS,Sig,Q,Th_c,Th,dS,dTS,dN,TKN,Thn,Th_cn
3141,210,34,240,22,38,9,78,20,2589,1.68,40,0.6,144,1614.32,13.24,9.2,176,218,29,58,2.3,14.77289518
3087,245,41,283,22,49,12,87,22,2669,2.34,53,0.6,169,1620.23,11.12,9.19,204,261,37,65,2.2975,13.71349373
2925,215,33,245,19,45,11,88,23,2519,1.81,40,0.59,144,1544.68,9.52,9.22,182,226,34,65,2.305,12.28639098
3006,209,35,258,21,44,11,78,20,2644,1.82,42,0.65,169,1590.51,13.64,9.21,174,237,33,58,2.3025,17.7065557
2970,212,34,246,22,42,10,78,20,2449,1.86,45,0.61,151,1692.78,9.2,9.22,178,224,32,58,2.305,11.23866138
2898,216,36,249,20,45,11,86,22,2673,1.92,45,0.63,157,1445.23,13.67,9.24,180,229,34,64,2.31,17.56065078
2889,203,33,233,17,45,11,91,24,2693,1.97,45,0.6,140,1493.91,13.01,9.14,170,216,34,67,2.285,17.78308489
3069,203,34,235,15,48,11,83,22,2553,1.91,45,0.64,150,1632.67,13.94,9.16,169,220,37,61,2.29,20.32456702
2907,228,38,269,20,47,11,94,25,2539,1.94,43,0.6,161,1635.28,10.51,9.13,190,249,36,69,2.2825,13.35915707
3078,215,34,258,20,46,11,97,25,2535,1.81,40,0.65,168,1547.24,11.06,9.21,181,238,35,72,2.3025,14.59109308
2952,205,33,237,16,46,11,83,22,2528,1.71,41,0.61,145,1526.61,12.15,9.23,172,221,35,61,2.3075,16.81100115
3060,223,36,258,17,45,10,88,22,2694,2.1,50,0.62,161,1615.6,11.81,9.23,187,241,35,66,2.3075,14.69504355
3033,250,40,283,20,44,11,83,21,2561,2.05,48,0.66,186,1541.87,8.01,9.2,210,263,33,62,2.3,8.692776491
3123,225,36,265,22,52,13,105,27,2570,1.83,40,0.6,160,1571.82,8.81,9.15,189,243,39,78,2.2875,12.55480765
2943,221,36,259,23,47,11,88,22,2595,2.03,46,0.64,167,1660.53,10.06,9.19,185,236,36,66,2.2975,13.1921899
3015,201,34,248,17,47,11,98,25,2472,1.78,38,0.59,147,1534.32,12.27,9.15,167,231,36,73,2.2875,17.69129778
2943,242,40,290,22,54,12,101,26,2504,2.19,50,0.62,181,1499.13,11.21,9.14,202,268,42,75,2.285,15.42401133
2889,209,35,233,19,40,10,74,19,2578,1.86,41,0.61,142,1507.1,13.81,9.15,174,214,30,55,2.2875,16.29748962
2925,201,34,224,22,48,12,88,23,2496,1.87,43,0.62,139,1565.53,11.62,9.24,167,202,36,65,2.31,17.1105763
3051,250,40,297,20,51,12,95,25,2668,2.12,50,0.61,182,1654.89,10.34,9.16,210,277,39,70,2.29,13.00660752
2979,246,40,302,23,52,11,104,26,2517,2.37,53,0.64,192,1698.86,8.28,9.17,206,279,41,78,2.2925,10.79224765
3132,240,38,290,23,54,12,94,24,2410,1.99,47,0.65,188,1740.73,9.68,9.15,202,267,42,70,2.2875,13.42985132
3015,202,33,238,19,39,9,81,20,2686,1.76,43,0.66,157,1724.64,11.91,9.23,169,219,30,61,2.3075,14.17876251
2943,200,33,224,20,40,10,75,21,2599,1.7,41,0.65,146,1498.8,12.77,9.24,167,204,30,54,2.31,15.74831968
3087,240,40,285,21,54,12,105,27,2408,2.17,51,0.64,183,1755.71,11.15,9.16,200,264,42,78,2.29,15.46930188
3033,254,40,304,23,49,11,98,24,2653,2.2,50,0.64,195,1513.8,11.41,9.14,214,281,38,74,2.285,13.57254646
2925,216,37,243,20,38,9,85,21,2534,1.99,46,0.64,155,1503.21,10.13,9.15,179,223,29,64,2.2875,10.98885949
3024,245,41,278,23,54,12,101,26,2692,2.37,55,0.63,174,1552.89,9.31,9.16,204,255,42,75,2.29,12.65291777
2925,227,37,255,17,47,11,91,24,2650,2.17,50,0.64,164,1535.14,10.46,9.24,190,238,36,67,2.31,13.35417351
3078,232,40,282,20,51,12,106,27,2585,1.94,46,0.6,170,1534.98,11.59,9.19,192,262,39,79,2.2975,15.71010025
2997,257,43,290,20,54,13,102,26,2441,2.48,57,0.6,175,1536.93,7.36,9.17,214,270,41,76,2.2925,9.53568245
3015,264,42,294,24,47,11,85,21,2630,2.48,60,0.63,185,1642.51,9.09,9.21,222,270,36,64,2.3025,9.978635145
3096,222,36,265,17,43,11,86,22,2443,1.84,44,0.65,172,1679.79,10.06,9.16,186,248,32,64,2.29,12.01508344
3123,255,42,299,24,45,11,82,21,2611,2.42,56,0.63,188,1711.08,8.17,9.15,213,275,34,61,2.2875,8.890121964
2997,242,39,278,18,53,13,91,24,2428,2.09,48,0.59,165,1488.09,11.36,9.23,203,260,40,67,2.3075,15.34094681
3123,208,35,241,17,49,11,88,22,2696,1.73,39,0.65,157,1600.35,12.69,9.13,173,224,38,66,2.2825,18.43349546
3078,254,41,288,16,50,13,87,23,2416,2.4,53,0.63,181,1553.05,8.57,9.18,213,272,37,64,2.295,10.40232549
3024,222,36,257,17,43,11,83,21,2413,2.16,49,0.6,153,1572.6,10.42,9.23,186,240,32,62,2.3075,12.44504666
2925,239,39,295,24,51,12,96,24,2648,2.3,54,0.6,177,1622.95,10.35,9.21,200,271,39,72,2.3025,13.61839586
2916,234,39,265,18,47,11,85,22,2524,2.1,47,0.61,160,1679.73,9.59,9.16,195,247,36,63,2.29,11.87719637
2970,262,44,287,20,49,11,95,25,2516,2.32,54,0.64,184,1688.03,7.48,9.16,218,267,38,70,2.29,8.626005204
3114,236,39,262,21,51,13,88,23,2485,2.14,50,0.62,164,1579.29,9.55,9.13,197,241,38,65,2.2825,12.72550055
3141,203,34,241,18,45,10,86,23,2524,1.62,38,0.65,157,1702.52,12.62,9.12,169,223,35,63,2.28,17.25000241
3033,211,35,242,20,47,12,90,22,2677,1.77,42,0.65,156,1683.24,10.65,9.12,176,222,35,68,2.28,14.6277773
2925,247,42,300,20,47,11,86,22,2487,2.04,48,0.59,178,1548.81,8.41,9.2,205,280,36,64,2.3,9.867570313
3132,203,32,225,16,36,9,71,19,2546,1.77,41,0.6,136,1666.83,10.72,9.15,171,209,27,52,2.2875,11.72234712
3042,203,33,243,17,45,10,84,22,2621,1.84,40,0.6,146,1574.27,12.45,9.18,170,226,35,62,2.295,17.01763312
2889,264,43,301,19,59,14,109,28,2517,2.58,61,0.66,199,1659.59,8.15,9.19,221,282,45,81,2.2975,11.2310154
3006,213,35,239,17,44,10,83,21,2476,2.04,48,0.6,143,1701.01,10.33,9.16,178,222,34,62,2.29,13.15790431
2988,256,41,304,21,55,13,106,26,2405,2.22,48,0.64,196,1577.01,7.69,9.18,215,283,42,80,2.295,10.18737735
2997,243,40,279,26,50,12,102,26,2551,2.09,46,0.62,174,1592,9.53,9.13,203,253,38,76,2.2825,12.09121547
2880,213,35,248,17,45,11,95,24,2457,1.85,44,0.64,159,1631.82,10.29,9.19,178,231,34,71,2.2975,13.40483937
2880,245,42,299,18,50,11,87,22,2630,2.15,50,0.63,190,1505.39,8.66,9.23,203,281,39,65,2.3075,10.89770735
3033,228,38,270,25,47,12,96,25,2542,2.12,50,0.64,174,1723.09,11.84,9.12,190,245,35,71,2.28,15.04970692
3114,200,32,248,24,42,11,78,19,2646,1.64,36,0.65,161,1734.72,10.14,9.13,168,224,31,59,2.2825,13.13017695
2952,266,43,302,28,52,12,100,26,2415,2.57,56,0.61,184,1636.16,7.88,9.22,223,274,40,74,2.305,9.498636186
2907,257,41,295,22,53,12,98,25,2700,2.09,47,0.65,191,1499.19,8.66,9.21,216,273,41,73,2.3025,11.01219689
3078,263,42,320,25,53,12,113,29,2532,2.3,52,0.65,206,1730.13,8.15,9.18,221,295,41,84,2.295,10.127239
2916,251,41,310,20,52,12,96,25,2678,2.46,59,0.66,203,1595.1,8.88,9.21,210,290,40,71,2.3025,11.34373094
2952,241,40,267,21,53,13,99,26,2588,2.03,46,0.66,176,1542.21,9.61,9.19,201,246,40,73,2.2975,13.03153407
3114,203,34,248,19,44,11,89,23,2582,1.91,45,0.59,147,1671.28,14.22,9.17,169,229,33,66,2.2925,19.00507397
2961,235,39,265,19,49,12,92,23,2524,2.24,52,0.65,173,1686.38,10.47,9.19,196,246,37,69,2.2975,13.46133799
3078,254,43,281,20,47,11,101,25,2622,2.38,55,0.65,183,1711.81,8.32,9.19,211,261,36,76,2.2975,9.492941332
3024,234,40,283,22,51,12,92,24,2524,1.99,46,0.6,169,1537.26,11.65,9.21,194,261,39,68,2.3025,15.65646002
3132,224,37,274,23,45,11,94,24,2418,1.82,41,0.64,176,1658.63,8.31,9.15,187,251,34,70,2.2875,10.29387401
3006,227,37,267,21,41,9,78,20,2606,1.96,44,0.64,172,1649.53,11.23,9.18,190,246,32,58,2.295,12.50694054
2934,230,37,263,17,50,12,99,25,2448,1.98,46,0.61,160,1555.24,10.42,9.24,193,246,38,74,2.31,13.9676459
3033,227,37,254,18,48,12,92,24,2603,2.03,48,0.61,155,1680.56,8.93,9.18,190,236,36,68,2.295,11.6434094
3042,213,34,251,18,48,12,93,24,2551,1.72,41,0.65,163,1659.68,11.85,9.19,179,233,36,69,2.2975,16.46619725
2943,238,37,269,23,45,10,79,21,2475,2.02,46,0.66,177,1520.3,10.6,9.15,201,246,35,58,2.2875,12.35818668
2988,238,39,272,25,48,11,95,24,2423,1.98,47,0.66,179,1661.45,8.35,9.15,199,247,37,71,2.2875,10.38398579
3024,202,33,221,19,42,11,74,20,2476,1.84,40,0.6,133,1745.28,12.5,9.15,169,202,31,54,2.2875,16.025857
2979,268,43,329,24,47,11,88,23,2607,2.55,56,0.62,205,1660.62,8.58,9.13,225,305,36,65,2.2825,9.278198956
2934,216,35,247,17,42,10,80,21,2695,1.92,45,0.6,147,1612.13,10.84,9.13,181,230,32,59,2.2825,12.99685132
3078,253,41,286,18,54,14,106,28,2576,2.05,47,0.65,187,1680.06,10.47,9.15,212,268,40,78,2.2875,13.77949335
3132,211,36,239,17,43,10,82,21,2580,1.7,38,0.64,154,1705.9,12.71,9.12,175,222,33,61,2.28,15.97146963
3123,206,34,228,18,40,10,79,21,2632,1.85,41,0.63,143,1801.06,11.19,9.15,172,210,30,58,2.2875,13.39788318
3123,229,37,279,21,52,13,105,27,2605,1.95,43,0.62,173,1649.69,11.41,9.22,192,258,39,78,2.305,15.97595524
2961,263,43,318,20,49,12,92,25,2502,2.13,48,0.6,189,1572.22,7.69,9.17,220,298,37,67,2.2925,8.834459835
3105,269,44,302,20,51,13,102,26,2644,2.36,55,0.65,195,1617.66,7.86,9.17,225,282,38,76,2.2925,9.188693628
2889,233,39,278,23,48,12,102,27,2608,2.16,49,0.62,173,1592.95,10.75,9.23,194,255,36,75,2.3075,13.65548438
2907,259,40,319,26,55,13,118,31,2431,2.52,56,0.63,201,1569.33,9.48,9.2,219,293,42,87,2.3,12.41322399
2988,208,34,248,18,47,11,96,24,2495,1.86,42,0.6,149,1618.66,12.57,9.13,174,230,36,72,2.2825,17.51391066
3069,245,39,301,22,55,14,104,27,2499,2.27,51,0.61,183,1727.02,7.75,9.17,206,279,41,77,2.2925,10.72782393
3096,269,43,334,28,56,14,113,29,2456,2.38,57,0.65,216,1663.61,8.46,9.16,226,306,42,84,2.29,10.85974029
3006,247,40,305,22,50,13,106,26,2556,2.09,48,0.65,198,1573.04,9.84,9.17,207,283,37,80,2.2925,12.28235028
3096,223,36,276,24,49,12,98,25,2664,2.2,50,0.59,163,1755.9,10.69,9.22,187,252,37,73,2.305,14.48379107
2898,266,44,315,25,53,12,93,23,2698,2.22,52,0.64,200,1467.91,11.6,9.24,222,290,41,70,2.31,14.25166323
3087,235,37,262,21,43,11,87,22,2425,2.32,53,0.6,157,1654.62,9.96,9.13,198,241,32,65,2.2825,11.23759202
2889,227,37,266,20,45,11,80,21,2623,1.82,43,0.62,166,1607.67,11.76,9.14,190,246,34,59,2.285,14.37498194
3105,222,35,251,19,52,13,100,25,2644,1.86,43,0.61,153,1797.21,9.62,9.12,187,232,39,75,2.28,13.89436714
3060,205,35,247,22,39,10,83,21,2545,1.98,45,0.6,149,1682.22,10.15,9.12,170,225,29,62,2.28,11.90666453
2988,233,38,284,23,49,11,93,24,2565,1.89,44,0.64,182,1500.67,12.01,9.13,195,261,38,69,2.2825,15.57386822
2916,227,38,271,18,49,12,87,22,2570,1.92,44,0.59,160,1521.4,8.98,9.15,189,253,37,65,2.2875,11.95253128
3060,212,34,259,21,49,12,91,25,2438,1.89,45,0.6,155,1707.56,9.59,9.2,178,238,37,66,2.3,13.66759671
3015,244,39,277,22,51,12,97,25,2604,1.99,45,0.62,170,1493.16,8.66,9.21,205,255,39,72,2.3025,11.16121749
3015,201,34,232,20,40,10,70,19,2688,1.93,45,0.6,138,1498.87,14.82,9.17,167,212,30,51,2.2925,18.18550924
3006,253,40,311,22,49,11,97,25,2626,2.13,50,0.66,205,1712.37,10.75,9.18,213,289,38,72,2.295,12.83799944
3105,228,38,269,24,47,11,100,26,2478,2.09,47,0.62,167,1723.56,9.63,9.12,190,245,36,74,2.28,12.24059778
3051,204,34,223,17,46,11,90,24,2684,1.91,44,0.64,141,1626.88,12.52,9.18,170,206,35,66,2.295,17.40785748
3114,241,39,272,19,51,13,91,24,2574,2.32,53,0.62,167,1773.03,11.61,9.19,202,253,38,67,2.2975,15.14951336
3015,250,39,309,23,46,11,91,23,2661,2.02,47,0.62,190,1562.01,8.14,9.12,211,286,35,68,2.28,9.235396746
3069,221,36,247,21,44,10,81,21,2639,2.01,47,0.6,149,1759.9,13.09,9.12,185,226,34,60,2.28,16.06990756
3051,216,35,253,17,48,12,92,24,2655,1.73,39,0.59,149,1675.15,11.49,9.13,181,236,36,68,2.2825,15.74420892
2898,204,34,245,17,44,12,90,24,2584,1.64,38,0.64,157,1587.11,13,9.2,170,228,32,66,2.3,17.28937088
3132,209,35,254,22,42,10,88,24,2453,1.99,47,0.6,152,1615.23,11.01,9.12,174,232,32,64,2.28,13.6428044
3123,249,41,275,19,55,12,111,29,2471,2.08,47,0.64,177,1709.15,9.95,9.12,208,256,43,82,2.28,13.5518864
3096,234,38,265,21,43,11,85,22,2437,2.29,51,0.63,167,1551.79,8.29,9.14,196,244,32,63,2.285,9.393348991
3141,255,43,281,25,53,12,94,25,2630,2.05,46,0.6,170,1618.25,8.38,9.18,212,256,41,69,2.295,10.73972193
3123,201,34,241,18,39,10,77,20,2470,1.63,37,0.63,151,1670.09,12.17,9.2,167,223,29,57,2.3,14.56037154
2952,269,44,334,29,58,14,105,28,2603,2.37,54,0.59,197,1482.56,11.02,9.17,225,305,44,77,2.2925,14.65111365
3042,217,36,250,18,46,11,100,26,2580,2.01,46,0.62,156,1653.46,10.24,9.23,181,232,35,74,2.3075,13.38478451
3096,209,34,230,15,40,10,80,22,2463,1.85,43,0.61,140,1772.74,13.24,9.18,175,215,30,58,2.295,15.62481988
2952,259,43,301,18,51,12,101,26,2451,2.32,52,0.63,189,1536.58,10.06,9.17,216,283,39,75,2.2925,12.21466954
3060,229,37,269,22,49,12,94,24,2443,1.87,42,0.62,168,1647.75,9.07,9.18,192,247,37,70,2.295,11.96688766
2934,207,32,246,22,43,10,84,22,2514,1.9,44,0.65,160,1463.68,9.84,9.19,175,224,33,62,2.2975,12.60394612
3132,213,36,256,23,46,11,100,26,2672,1.7,38,0.59,152,1724.03,12.41,9.2,177,233,35,74,2.3,16.52583221
3132,237,39,292,21,47,11,95,24,2491,1.93,43,0.62,182,1763.1,10.3,9.17,198,271,36,71,2.2925,12.59505493
2988,201,34,224,22,42,10,85,21,2464,1.85,44,0.65,147,1677.14,9.98,9.15,167,202,32,64,2.2875,12.85870117
2916,252,40,301,25,55,12,107,29,2482,2.24,53,0.63,189,1477.53,10.25,9.14,212,276,43,78,2.285,13.79428973
2943,202,33,226,18,40,9,88,22,2479,1.65,38,0.59,133,1577.98,12.96,9.18,169,208,31,66,2.295,15.82438909
2970,227,38,275,24,52,13,97,24,2478,1.95,43,0.6,164,1491.69,11.01,9.17,189,251,39,73,2.2925,15.55170948
3114,250,40,284,23,54,13,100,25,2667,2.11,50,0.61,172,1552.76,8.81,9.14,210,261,41,75,2.285,11.73391638
3069,241,40,269,16,50,12,98,26,2432,2.12,48,0.65,174,1712.6,8.95,9.2,201,253,38,72,2.3,11.44957395
2907,220,37,254,15,43,10,86,22,2486,2.03,46,0.6,152,1597.55,11.53,9.21,183,239,33,64,2.3025,13.89595539
2916,269,43,322,25,54,13,112,28,2670,2.65,62,0.61,197,1590.32,8.05,9.15,226,297,41,84,2.2875,9.964389363
2943,201,33,234,19,44,11,86,23,2451,1.61,37,0.6,140,1577.34,9.32,9.22,168,215,33,63,2.305,12.58015119
2979,214,36,255,22,50,11,87,21,2411,1.95,44,0.63,162,1572.46,9.48,9.14,178,233,39,66,2.285,13.65771034
3069,220,36,270,24,50,12,95,24,2602,1.79,43,0.64,171,1773.92,12.71,9.13,184,246,38,71,2.2825,17.81173411
3087,200,33,236,19,45,11,79,20,2459,1.87,44,0.59,140,1551.09,13.77,9.12,167,217,34,59,2.28,19.10424098
3141,200,33,237,18,39,9,73,19,2432,1.69,39,0.62,148,1635.01,11.73,9.22,167,219,30,54,2.305,14.10411865
2889,243,41,284,22,50,12,92,24,2638,2.12,49,0.65,185,1622.97,11.77,9.23,202,262,38,68,2.3075,14.93322205
2943,234,38,270,22,49,11,99,25,2471,1.87,43,0.62,169,1545.14,11.96,9.19,196,248,38,74,2.2975,15.44275323
3105,236,40,258,18,48,11,90,23,2499,2.18,52,0.59,153,1755.77,8.32,9.17,196,240,37,67,2.2925,10.43436177
2934,230,38,277,21,53,13,111,29,2436,1.98,47,0.63,174,1666.05,11.48,9.13,192,256,40,82,2.2825,16.31185119
2907,236,39,280,22,55,13,105,27,2645,1.88,41,0.62,174,1650.53,11.9,9.21,197,258,42,78,2.3025,17.10058538
2952,207,34,243,20,46,12,90,24,2490,2.02,45,0.65,159,1636.9,13.43,9.17,173,223,34,66,2.2925,18.40250007
2916,217,35,264,23,47,11,89,23,2606,1.82,43,0.62,165,1625.5,10.02,9.21,182,241,36,66,2.3025,13.38194298
3123,261,43,324,29,48,11,98,24,2597,2.29,51,0.6,193,1690.47,7.79,9.18,218,295,37,74,2.295,8.833880437
3087,206,34,245,16,48,12,89,23,2434,1.93,43,0.61,150,1642.47,9.77,9.16,172,229,36,66,2.29,14.03724597
2979,252,42,293,20,54,13,95,24,2591,2.14,48,0.61,177,1721.07,8.09,9.14,210,273,41,71,2.285,10.68944286
2943,222,37,249,19,49,12,99,26,2665,1.77,42,0.64,159,1552.78,11.91,9.19,185,230,37,73,2.2975,16.20944691
3069,240,39,278,19,52,12,91,24,2637,2.31,55,0.66,183,1666.74,9.77,9.19,201,259,40,67,2.2975,13.05268913
2961,209,35,243,23,41,10,75,20,2647,1.98,44,0.65,157,1670.91,14.46,9.19,174,220,31,55,2.2975,17.49118337
2916,258,42,301,23,51,12,92,23,2572,2.33,54,0.63,191,1629.67,9.54,9.19,216,278,39,69,2.2975,11.62819147
3042,215,35,238,17,40,10,80,21,2688,1.91,44,0.65,155,1534.26,11.52,9.14,180,221,30,59,2.285,13.21561383
3123,234,38,263,22,48,12,103,27,2611,1.97,44,0.63,166,1684.36,10.32,9.17,196,241,36,76,2.2925,13.05324251
3141,222,35,260,21,45,11,87,23,2431,1.86,43,0.65,168,1659.16,8.92,9.13,187,239,34,64,2.2825,11.1490464
2880,252,42,285,17,55,13,104,27,2600,2.46,58,0.63,179,1657.79,7.86,9.13,210,268,42,77,2.2825,10.5778651
2934,243,40,269,22,49,12,95,25,2482,2,46,0.61,165,1500.09,8.15,9.2,203,247,37,70,2.3,10.13352969
2934,253,42,304,27,54,12,101,25,2625,2.2,51,0.63,191,1685.89,9.19,9.19,211,277,42,76,2.2975,12.09489436
3069,230,38,276,20,49,12,93,23,2672,2.25,53,0.6,165,1691.06,9.92,9.15,192,256,37,70,2.2875,13.0314651
2988,214,34,259,16,39,9,84,21,2578,2.03,45,0.63,164,1622.37,11.47,9.15,180,243,30,63,2.2875,12.88924803
2988,252,41,289,28,49,12,101,27,2574,2.37,54,0.6,175,1571.4,8.16,9.13,211,261,37,74,2.2825,9.783607634
3078,266,43,329,22,54,13,111,28,2411,2.26,50,0.63,207,1589.12,8.38,9.16,223,307,41,83,2.29,10.48985466
2988,226,36,252,17,45,12,95,23,2457,2.16,49,0.6,152,1536.02,12.16,9.15,190,235,33,72,2.2875,14.92969649
2907,201,33,225,20,38,9,78,21,2696,1.88,43,0.64,144,1575.64,14.41,9.17,168,205,29,57,2.2925,16.79828129
3087,265,42,320,23,53,12,106,27,2520,2.4,56,0.62,198,1715.3,9.29,9.16,223,297,41,79,2.29,11.45668676
2889,226,37,262,23,51,11,91,23,2439,2.02,45,0.61,161,1590.72,10.76,9.24,189,239,40,68,2.31,14.97225922
3033,252,40,275,19,51,13,107,28,2699,2.45,54,0.65,178,1656.25,11.59,9.23,212,256,38,79,2.3075,14.4632669
2943,230,37,256,18,48,11,87,23,2552,2.01,44,0.6,153,1466.21,8.43,9.15,193,238,37,64,2.2875,10.84811562
2907,212,35,251,18,48,12,87,23,2419,2.07,49,0.66,165,1614.84,9.42,9.2,177,233,36,64,2.3,13.15132797
3096,213,35,254,20,51,12,97,24,2654,1.9,44,0.63,160,1766.22,9.84,9.21,178,234,39,73,2.3025,14.5277715
2934,241,39,285,23,51,12,100,25,2677,1.99,45,0.63,178,1635.19,11.93,9.13,202,262,39,75,2.2825,15.56707101
2997,229,39,274,20,46,12,88,23,2557,1.83,43,0.61,167,1629.33,10.81,9.14,190,254,34,65,2.285,13.38940791
3033,254,41,303,22,50,12,95,24,2409,2.32,51,0.64,193,1559.59,10.66,9.19,213,281,38,71,2.2975,12.939182
2970,248,40,280,19,56,14,119,29,2696,2.05,49,0.62,174,1553.51,10.85,9.22,208,261,42,90,2.305,15.1070412
2970,249,40,295,22,54,12,106,28,2437,2.09,46,0.65,191,1480.04,8.47,9.2,209,273,42,78,2.3,11.32638063
2889,244,40,301,26,53,13,103,27,2593,2.01,49,0.59,179,1444.56,11.5,9.17,204,275,40,76,2.2925,15.40271263
2907,235,39,267,18,48,12,89,23,2654,2.29,52,0.65,173,1567.99,12.24,9.17,196,249,36,66,2.2925,15.41587294
3042,210,34,245,23,37,10,83,22,2485,1.99,47,0.66,161,1518.88,11.62,9.23,176,222,27,61,2.3075,12.62414246
2979,269,44,295,24,50,12,90,24,2538,2.51,58,0.64,188,1539.13,8.51,9.15,225,271,38,66,2.2875,9.753502816
3132,251,40,285,19,48,12,86,22,2408,2.26,54,0.64,182,1689.31,8.65,9.17,211,266,36,64,2.2925,10.19992439
3132,207,35,226,18,43,10,86,23,2503,1.89,45,0.61,138,1705.55,12.52,9.21,172,208,33,63,2.3025,16.03672819
3123,218,37,245,19,40,9,83,22,2419,1.75,42,0.61,150,1805.57,11.17,9.13,181,226,31,61,2.2825,12.63775699
3105,257,41,306,20,52,13,95,24,2470,2.29,53,0.59,182,1654.25,9.69,9.14,216,286,39,71,2.285,12.0894718
2943,253,41,292,20,52,12,106,28,2508,2.33,54,0.64,186,1552.42,8.73,9.24,212,272,40,78,2.31,11.06395487
3132,223,37,267,15,44,10,84,22,2542,2,47,0.62,165,1753.09,11.42,9.13,186,252,34,62,2.2825,13.89399847
3132,267,44,316,27,57,13,118,29,2601,2.18,49,0.65,206,1738.51,7.89,9.17,223,289,44,89,2.2925,10.38613413
3141,226,37,276,23,47,12,101,26,2675,2.03,46,0.62,170,1565.11,12.47,9.2,189,253,35,75,2.3,15.99076355
3024,252,41,276,18,47,12,99,26,2480,2.24,54,0.62,172,1684.91,7.96,9.22,211,258,35,73,2.305,9.154269928
3114,261,42,315,20,50,12,100,25,2688,2.22,50,0.63,197,1602.18,10.21,9.19,219,295,38,75,2.2975,12.0605904
3042,233,39,283,20,50,12,92,24,2601,2.11,47,0.64,181,1598.22,10.27,9.14,194,263,38,68,2.285,13.58932409
3078,263,43,301,26,49,11,89,23,2570,2.51,60,0.66,198,1553.12,8.01,9.18,220,275,38,66,2.295,9.202083651
2889,241,38,294,22,51,13,95,24,2561,2.02,45,0.65,191,1633.79,11.69,9.17,203,272,38,71,2.2925,15.25390277
3096,206,33,235,21,42,10,88,23,2416,1.92,43,0.61,143,1568.01,11.51,9.14,173,214,32,65,2.285,14.47007303
3078,262,43,300,22,57,13,115,29,2484,2.33,55,0.65,195,1523.19,9.94,9.21,219,278,44,86,2.3025,13.33439384
3060,264,43,327,30,55,13,110,29,2465,2.35,52,0.62,201,1587.79,9.99,9.16,221,297,42,81,2.29,12.83327735
2898,224,38,272,23,51,12,103,26,2419,2.01,46,0.64,174,1498.64,11.95,9.14,186,249,39,77,2.285,16.77657846
3114,261,41,312,21,55,13,109,27,2515,2.2,49,0.62,193,1579.31,10.46,9.13,220,291,42,82,2.2825,13.59149394
2997,242,39,282,18,53,13,106,27,2579,1.98,45,0.64,180,1667.38,10.65,9.23,203,264,40,79,2.3075,14.38213764
2880,212,36,235,18,42,11,80,21,2486,1.94,44,0.59,140,1563.19,9.99,9.24,176,217,31,59,2.31,12.20372034
3006,268,42,326,21,57,13,107,27,2484,2.24,53,0.65,211,1517.82,7.04,9.13,226,305,44,80,2.2825,9.232643151
2880,234,39,259,22,48,11,96,25,2493,1.86,43,0.64,166,1488.79,8.4,9.19,195,237,37,71,2.2975,10.62473227
3132,246,40,284,20,52,12,101,26,2674,1.98,44,0.64,182,1695.39,9.83,9.22,206,264,40,75,2.305,12.81253556
3087,250,41,300,26,45,11,93,24,2621,2.23,51,0.66,198,1765.34,9.11,9.19,209,274,34,69,2.2975,10.11123517
2907,229,38,260,16,46,11,91,23,2673,1.94,46,0.63,165,1569.97,10.16,9.15,191,244,35,68,2.2875,12.58430938
2988,230,37,276,24,47,11,86,22,2440,1.95,46,0.61,169,1553.6,10.36,9.18,193,252,36,64,2.295,13.05398492
2997,262,44,321,20,54,12,98,26,2425,2.49,56,0.64,206,1540.76,8.66,9.15,218,301,42,72,2.2875,11.00585254
3141,246,38,297,25,47,12,86,23,2543,2.42,55,0.6,178,1599.54,10.06,9.14,208,272,35,63,2.285,11.85152019
3132,243,41,292,24,51,12,110,29,2673,1.93,45,0.59,173,1730.1,10.97,9.21,202,268,39,81,2.3025,14.19658409
2988,220,36,253,19,50,12,95,25,2520,2.1,48,0.65,165,1629.55,10.63,9.2,184,234,38,70,2.3,14.89683191
2988,254,40,312,22,51,12,104,27,2555,2.05,47,0.6,188,1520.43,7.95,9.15,214,290,39,77,2.2875,9.842760493
3042,202,35,244,17,50,11,88,23,2411,1.7,40,0.64,155,1663.89,13.1,9.17,167,227,39,65,2.2925,19.99416445
3033,226,37,248,18,47,11,92,23,2699,1.97,47,0.61,151,1697.84,10.84,9.22,189,230,36,69,2.305,13.90055147
2880,264,42,304,20,52,13,97,25,2475,2.57,58,0.6,183,1421.12,9.88,9.24,222,284,39,72,2.31,11.99968072
3078,250,42,298,22,48,12,100,26,2448,1.99,45,0.65,195,1705.4,9.4,9.23,208,276,36,74,2.3075,11.12864815
3060,205,33,240,15,41,10,78,20,2559,1.91,45,0.64,154,1561.93,10.09,9.21,172,225,31,58,2.3025,12.44326904
2988,257,41,294,22,60,14,110,27,2561,2.46,56,0.6,177,1499.12,8.07,9.23,216,272,46,83,2.3075,11.61729429
3069,239,39,288,25,47,11,88,22,2624,2.28,51,0.62,178,1666.88,9.3,9.15,200,263,36,66,2.2875,11.27706892
2970,213,35,248,21,47,11,82,21,2683,2.04,46,0.62,153,1551.54,13.97,9.23,178,227,36,61,2.3075,19.00763089
3123,235,37,287,17,45,11,84,22,2652,2.26,52,0.63,182,1627.11,8.58,9.17,198,270,34,62,2.2925,10.13083562
